구분별(1),구분별(2),구분별(3),2021_만족도,2021_문화시설,문화프로그램 (점),문화비용 (점)
서울시,지역소분류,종로구,5.55,6.05,5.53,5.05
서울시,지역소분류,중구,5.92,6.28,6.17,5.32
서울시,지역소분류,용산구,5.46,5.92,5.44,5.04
서울시,지역소분류,성동구,5.91,6.27,6.18,5.27
서울시,지역소분류,광진구,5.64,6.06,5.74,5.11
서울시,지역소분류,동대문구,5.44,5.79,5.44,5.09
서울시,지역소분류,중랑구,5.4,5.82,5.46,4.93
서울시,지역소분류,성북구,5.7,6.06,5.79,5.26
서울시,지역소분류,강북구,5.8,6.15,6.11,5.16
서울시,지역소분류,도봉구,5.4,5.76,5.4,5.05
서울시,지역소분류,노원구,5.58,5.94,5.58,5.22
서울시,지역소분류,은평구,5.45,5.86,5.6,4.9
서울시,지역소분류,서대문구,5.85,6.2,6.14,5.23
서울시,지역소분류,마포구,5.72,6.29,5.79,5.08
서울시,지역소분류,양천구,5.3,5.68,5.36,4.87
서울시,지역소분류,강서구,5.4,5.78,5.45,4.96
서울시,지역소분류,구로구,5.46,5.96,5.45,4.96
서울시,지역소분류,금천구,5.48,6.04,5.54,4.87
서울시,지역소분류,영등포구,5.44,5.81,5.53,4.98
서울시,지역소분류,동작구,5.61,6.19,5.68,4.95
서울시,지역소분류,관악구,5.67,6.24,5.72,5.06
서울시,지역소분류,서초구,5.9,6.25,6.18,5.27
서울시,지역소분류,강남구,5.97,6.4,6.24,5.28
서울시,지역소분류,송파구,5.92,6.28,6.19,5.28
서울시,지역소분류,강동구,5.35,5.72,5.41,4.94
